"ID"	"BAYES_prob"	"BAYES_log10.PO."	"BAYES_qval"	"BAYES_alpha"	"BAYES_fst"	"Outlier_Type"	"PCA p-val"	"PCA q-val"
"1"	72	1	1000	0	2.3158	0.31784	"Bayescan Host"	0.00390291463871994	0.0367198307461887
"2"	209	0.999	2.9995	0.00012128	2.2452	0.30846	"Bayescan Host"	0.00429936427125524	0.0397330187405388
"3"	488	1	1000	0	2.5903	0.36207	"Bayescan Host"	9.82485352605222e-10	4.37465921980193e-08
"4"	725	0.75615	0.49149	0.042609	1.3781	0.20773	"Bayescan Host"	3.47211233054398e-13	2.39084550450093e-11
"5"	1355	1	1000	0	2.6618	0.3728	"Bayescan Host"	1.34339830867732e-07	3.86641714961756e-06
"6"	1392	0.9934	2.1775	0.00094076	2.1105	0.28967	"Bayescan Host"	0.00497807329661586	0.0447566832591611
"7"	2340	0.9962	2.4185	0.00062452	2.0616	0.28211	"Bayescan Host"	0.00402478341409091	0.0376376760518688
"8"	4469	1	1000	0	2.6611	0.37257	"Bayescan Host"	1.60388587818836e-08	5.89591170469371e-07
"9"	4470	0.9982	2.7439	0.00025253	2.2481	0.30875	"Bayescan Host"	1.60388587818836e-08	5.89591170469371e-07
"10"	4850	0.9998	3.6988	2.2227e-05	2.5885	0.35996	"Bayescan Host"	0.00232780316096081	0.0241421440426617
"11"	6252	0.83397	0.70095	0.025239	1.5312	0.22151	"Bayescan Host"	4.02271294395741e-06	8.29039558026788e-05
"12"	8137	0.9918	2.0825	0.0013596	2.0588	0.28228	"Bayescan Host"	0.00135501367533672	0.0152337780659969
"13"	8264	0.90238	0.96585	0.014987	1.8133	0.25462	"Bayescan Host"	7.42692230700218e-08	2.32048087964592e-06
"14"	18228	0.92058	1.0642	0.012962	1.8204	0.25402	"Bayescan Host"	0.00229105771502318	0.0238157752047227
"15"	22423	0.93439	1.1535	0.011749	1.8219	0.2536	"Bayescan Host"	3.80776104098437e-05	0.00063204250217904
"16"	23041	0.94719	1.2537	0.0093177	1.9544	0.27092	"Bayescan Host"	1.06950068197195e-05	0.000201585043120203
"17"	23693	0.88418	0.88274	0.023362	2.0807	0.30343	"Bayescan Location"	2.2663611902521e-08	8.04850028701331e-07
"18"	23694	0.78256	0.55617	0.039452	1.9032	0.2886	"Bayescan Location"	2.2663611902521e-08	8.04850028701331e-07
"19"	26314	0.95559	1.3328	0.0077259	1.8652	0.25769	"Bayescan Host"	7.68549034696886e-20	1.51413309228557e-17
"20"	26315	0.96979	1.5066	0.0053599	1.9087	0.26265	"Bayescan Host"	7.68549034696886e-20	1.51413309228557e-17
"21"	29596	0.80836	0.62512	0.031935	1.5859	0.23164	"Bayescan Host"	9.52360150462538e-11	4.89459879813805e-09
"22"	29597	0.73595	0.44516	0.043762	1.449	0.21886	"Bayescan Host"	5.46827763782255e-14	4.29650736039792e-12
"23"	29598	0.976	1.6091	0.0044202	2.1803	0.30276	"Bayescan Host"	5.46827763782255e-14	4.29650736039792e-12
"24"	29600	1	1000	0	2.6494	0.36993	"Bayescan Host"	4.92041560867508e-13	3.35094476987506e-11
"25"	29603	0.81056	0.63132	0.031023	1.5476	0.2257	"Bayescan Host"	3.8326897219152e-07	9.90533818968891e-06
"26"	30269	0.9996	3.3977	3.8946e-05	2.323	0.31959	"Bayescan Host"	4.97122632048663e-07	1.26373002116334e-05
"27"	32125	0.9992	3.0965	0.00020004	2.6876	0.36939	"Bayescan Location"	8.27590636800671e-06	0.000159636647479565
"28"	32808	0.9908	2.0321	0.0021267	2.9969	0.41156	"Bayescan Location"	4.07874283417092e-07	1.04866569387925e-05
"29"	34228	0.979	1.6685	0.0038631	2.0025	0.27531	"Bayescan Host"	0.00305222717611176	0.0301680116688076
"30"	34232	0.97119	1.5278	0.0051579	1.9158	0.26403	"Bayescan Host"	2.22785993165287e-10	1.09187129345281e-08
"31"	38088	1	1000	0	2.7261	0.38293	"Bayescan Host"	2.12655132464165e-08	7.5845469550635e-07
"32"	40153	0.9934	2.1775	0.0017337	2.7795	0.38148	"Bayescan Location"	0.000130851669390673	0.00195262784197137
"33"	42842	0.88958	0.90613	0.017586	1.705	0.24065	"Bayescan Host"	0.00146424618246041	0.0162484198079151
"34"	46695	0.9998	3.6988	2.2227e-05	2.5313	0.35348	"Bayescan Host"	1.17152506682764e-09	5.14714203476033e-08
"35"	49948	0.79056	0.57687	0.037027	1.4802	0.21852	"Bayescan Host"	1.16269887725166e-06	2.7075286659903e-05
"36"	55937	0.80756	0.62288	0.03284	1.4788	0.21767	"Bayescan Host"	0.000793390155332813	0.00964245802737043
