"BAYES_prob"	"BAYES_log10.PO."	"BAYES_qval"	"BAYES_alpha"	"BAYES_fst"	"ID"
"1"	0.0886177	-1.01218	0.891465	-0.021411	0.12221	1
"2"	0.088218	-1.0143	0.89245	0.0058294	0.1242	2
"3"	0.42989	-0.12261	0.18492	0.78331	0.22714	3
"4"	0.13623	-0.80214	0.561	0.11284	0.13676	4
"5"	0.092418	-0.99213	0.87799	0.010555	0.1248	5
"6"	0.22965	-0.52563	0.34061	0.31755	0.16368	6
"7"	0.081416	-1.0524	0.90158	-0.0016734	0.12359	7
"8"	0.095619	-0.97581	0.85804	0.0099421	0.12502	8
"9"	0.087818	-1.0165	0.89334	-0.037249	0.12069	9
"10"	0.077816	-1.0738	0.90278	-0.014358	0.12239	10
"11"	0.084217	-1.0364	0.89926	-0.029162	0.1212	11
"12"	0.086017	-1.0264	0.8968	-0.033101	0.12099	12
"13"	0.089418	-1.0079	0.88935	-0.016606	0.12239	13
"14"	0.090018	-1.0047	0.8875	0.003728	0.12446	14
"15"	0.082216	-1.0478	0.90108	-0.032486	0.12098	15
"16"	0.085617	-1.0286	0.89741	-0.034906	0.12075	16
"17"	0.088218	-1.0143	0.89245	-0.008489	0.12309	17
"18"	0.089418	-1.0079	0.88935	0.0090462	0.12487	18
"19"	0.09922	-0.95802	0.82506	0.020645	0.12603	19
"20"	0.10722	-0.92046	0.74919	0.022198	0.12641	20
"21"	0.096419	-0.9718	0.85164	0.0088294	0.12529	21
"22"	0.086617	-1.023	0.89577	-0.031391	0.12126	22
"23"	0.10202	-0.94458	0.7964	0.044285	0.12853	23
"24"	0.11482	-0.887	0.6912	0.06107	0.13069	24
"25"	0.094819	-0.97984	0.86425	0.03407	0.12732	25
"26"	0.10602	-0.92593	0.75916	0.048513	0.12911	26
"27"	0.081216	-1.0536	0.90169	-0.0031243	0.12343	27
"28"	0.090418	-1.0026	0.8862	0.010943	0.125	28
"29"	0.079816	-1.0618	0.90229	-0.016614	0.12227	29
"30"	0.097019	-0.96882	0.84651	0.013589	0.12513	30
"31"	0.09942	-0.95705	0.82298	0.016305	0.126	31
