"BAYES_prob"	"BAYES_log10.PO."	"BAYES_qval"	"BAYES_alpha"	"BAYES_fst"	"ID"
"1"	0.084817	-1.03303	0.898382	-0.025278	0.079749	1
"2"	0.085417	-1.0297	0.89755	-0.0050172	0.080821	2
"3"	0.28226	-0.40533	0.21314	0.39759	0.11525	3
"4"	0.17123	-0.68484	0.38311	0.18551	0.095969	4
"5"	0.091418	-0.99733	0.88174	0.030398	0.083321	5
"6"	0.19304	-0.62121	0.33608	0.24097	0.10156	6
"7"	0.096219	-0.9728	0.8534	0.0038648	0.08153	7
"8"	0.090818	-1.0005	0.88409	0.0082613	0.08186	8
"9"	0.081216	-1.0536	0.90143	-0.0076055	0.08058	9
"10"	0.085217	-1.0308	0.89784	-0.0209	0.080065	10
"11"	0.085817	-1.0275	0.89694	-0.030381	0.079376	11
"12"	0.088618	-1.0122	0.89105	-0.00018193	0.081154	12
"13"	0.088018	-1.0154	0.89258	0.012182	0.08186	13
"14"	0.089018	-1.01	0.88993	-0.0054923	0.081046	14
"15"	0.079616	-1.063	0.90197	-0.0068337	0.080693	15
"16"	0.086417	-1.0241	0.89594	-0.00023859	0.081079	16
"17"	0.084817	-1.033	0.89838	-0.0057504	0.081003	17
"18"	0.088018	-1.0154	0.89258	-0.013488	0.080485	18
"19"	0.16803	-0.69471	0.39335	0.17673	0.095532	19
"20"	0.089418	-1.0079	0.88871	0.009566	0.081723	20
"21"	0.095219	-0.97782	0.86104	0.0094282	0.082429	21
"22"	0.088818	-1.0111	0.8905	0.0034756	0.08139	22
"23"	0.078616	-1.0689	0.90218	-0.015014	0.080187	23
"24"	0.091018	-0.99943	0.88332	-0.017006	0.080324	24
"25"	0.091818	-0.99524	0.88015	-0.023256	0.079923	25
"26"	0.086617	-1.023	0.89558	-0.0085734	0.080603	26
"27"	0.086617	-1.023	0.89558	0.013383	0.082001	27
"28"	0.10362	-0.93705	0.75909	0.055488	0.085551	28
"29"	0.087618	-1.0176	0.8935	-0.023857	0.07965	29
"30"	0.087217	-1.0198	0.89437	0.0097665	0.081809	30
"31"	0.087417	-1.0187	0.89393	-0.01267	0.080474	31
"32"	0.081016	-1.0547	0.90152	-0.022944	0.079777	32
"33"	0.081216	-1.0536	0.90143	-0.011771	0.080536	33
"34"	0.080616	-1.0571	0.90167	-0.015141	0.080257	34
"35"	0.083417	-1.0409	0.89994	-0.010255	0.080361	35
"36"	0.091818	-0.99524	0.88015	0.0014146	0.081387	36
"37"	0.087017	-1.0209	0.89477	0.023379	0.082597	37
"38"	0.38528	-0.20291	0.15169	0.65907	0.14094	38
"39"	0.15203	-0.74645	0.43922	0.1642	0.095889	39
"40"	0.30926	-0.34899	0.19431	0.49459	0.12625	40
"41"	0.077816	-1.0738	0.90229	-0.0016627	0.08096	41
"42"	0.9996	3.3977	3.8946e-05	2.2815	0.31382	42
"43"	0.11542	-0.88444	0.63281	0.069485	0.086451	43
"44"	0.21464	-0.56335	0.29265	0.2952	0.10775	44
"45"	0.63533	0.24109	0.063414	1.1844	0.19125	45
"46"	0.16263	-0.71171	0.40674	0.16902	0.094968	46
"47"	0.28106	-0.4079	0.21402	0.41248	0.11768	47
"48"	0.093619	-0.98595	0.8713	-0.023752	0.079923	48
"49"	0.086417	-1.0241	0.89594	-0.0037713	0.080982	49
"50"	0.096219	-0.9728	0.8534	-0.011006	0.080625	50
"51"	0.087017	-1.0209	0.89477	-0.010866	0.080595	51
"52"	0.075615	-1.0872	0.90244	-0.0086158	0.080595	52
"53"	0.088218	-1.0143	0.89209	-0.0098961	0.080544	53
"54"	0.082817	-1.0443	0.90045	-0.0026891	0.08093	54
"55"	0.085217	-1.0308	0.89784	-0.010261	0.080471	55
"56"	0.086817	-1.022	0.89519	-0.018337	0.080089	56
"57"	0.09782	-0.96487	0.83884	0.038141	0.084094	57
