"BAYES_prob"	"BAYES_log10.PO."	"BAYES_qval"	"BAYES_alpha"	"BAYES_fst"	"ID"	"Outlier_Type"
"42"	0.9996	3.3977	3.8946e-05	2.2815	0.31382	42	"Bayescan Host"
"70"	0.9924	2.1158	0.0012492	2.0771	0.28524	70	"Bayescan Host"
"72"	1	1000	0	2.3158	0.31784	72	"Bayescan Host"
"73"	0.9994	3.2215	6.2724e-05	2.2757	0.31178	73	"Bayescan Host"
"150"	0.94379	1.2251	0.0098162	1.8914	0.26223	150	"Bayescan Host"
"151"	0.93839	1.1827	0.010846	1.8568	0.25789	151	"Bayescan Host"
"152"	0.96619	1.4561	0.0057885	1.9468	0.26812	152	"Bayescan Host"
"153"	0.97179	1.5372	0.0050614	1.9627	0.27027	153	"Bayescan Host"
"154"	0.96899	1.4949	0.0054629	1.9316	0.26614	154	"Bayescan Host"
"155"	0.9966	2.467	0.00052589	2.1038	0.28826	155	"Bayescan Host"
"163"	0.69594	0.35961	0.049891	1.3309	0.20592	163	"Bayescan Host"
"200"	0.9998	3.6988	2.2227e-05	2.5641	0.35654	200	"Bayescan Host"
"202"	0.9996	3.3977	3.8946e-05	2.4957	0.34716	202	"Bayescan Host"
"203"	1	1000	0	2.7533	0.38639	203	"Bayescan Host"
"208"	1	1000	0	2.3753	0.32705	208	"Bayescan Host"
"209"	0.999	2.9995	0.00012128	2.2452	0.30846	209	"Bayescan Host"
"210"	0.9972	2.5515	0.00040271	2.1456	0.29369	210	"Bayescan Host"
"248"	1	1000	0	2.6931	0.37768	248	"Bayescan Host"
"305"	0.72715	0.42569	0.04613	1.3497	0.2058	305	"Bayescan Host"
"461"	0.9782	1.6519	0.0040163	1.9965	0.27411	461	"Bayescan Host"
"462"	0.9832	1.7672	0.0029749	1.9971	0.27438	462	"Bayescan Host"
"488"	1	1000	0	2.5903	0.36207	488	"Bayescan Host"
"605"	0.999	2.9995	0.00012128	2.1821	0.2989	605	"Bayescan Host"
"606"	0.71174	0.39254	0.048586	1.3385	0.20556	606	"Bayescan Host"
"608"	0.89338	0.92319	0.016117	1.7119	0.24128	608	"Bayescan Host"
"642"	0.73575	0.44471	0.044347	1.387	0.21076	642	"Bayescan Host"
"725"	0.75615	0.49149	0.042609	1.3781	0.20773	725	"Bayescan Host"
"728"	0.9994	3.2215	6.2724e-05	2.093	0.28494	728	"Bayescan Host"
"747"	0.94419	1.2283	0.0094843	1.8286	0.25342	747	"Bayescan Host"
"851"	0.9878	1.9082	0.0020588	2.0473	0.2818	851	"Bayescan Host"
"852"	0.78576	0.56438	0.037989	1.4503	0.21494	852	"Bayescan Host"
"854"	0.981	1.7128	0.0035725	2.0446	0.28141	854	"Bayescan Host"
"862"	0.91738	1.0455	0.013419	1.77	0.24796	862	"Bayescan Host"
"985"	0.95019	1.2805	0.00886	1.812	0.25167	985	"Bayescan Host"
"986"	0.993	2.1518	0.0010762	2.0215	0.27697	986	"Bayescan Host"
"993"	0.81956	0.65726	0.027855	1.4753	0.21545	993	"Bayescan Host"
"994"	0.9844	1.8	0.0027211	1.8985	0.26035	994	"Bayescan Host"
"1002"	0.97219	1.5436	0.0048709	1.8483	0.25394	1002	"Bayescan Host"
"1003"	0.96859	1.4891	0.0055667	1.8418	0.25342	1003	"Bayescan Host"
"1007"	0.95379	1.3147	0.0082858	1.7991	0.24886	1007	"Bayescan Host"
"1008"	0.94979	1.2768	0.0090098	1.7848	0.24711	1008	"Bayescan Host"
"1010"	0.92599	1.0973	0.012525	1.7993	0.2518	1010	"Bayescan Host"
"1011"	0.88278	0.87684	0.01942	1.6601	0.23574	1011	"Bayescan Host"
"1012"	0.88318	0.87852	0.018808	1.6375	0.23187	1012	"Bayescan Host"
"1013"	0.9828	1.7568	0.0031033	1.9755	0.27198	1013	"Bayescan Host"
"1014"	0.987	1.8803	0.0022161	2.0132	0.27625	1014	"Bayescan Host"
"1015"	0.86617	0.81106	0.021431	1.6569	0.23692	1015	"Bayescan Host"
"1016"	0.86577	0.80956	0.021775	1.6523	0.23621	1016	"Bayescan Host"
"1017"	0.87097	0.82933	0.020405	1.6253	0.23148	1017	"Bayescan Host"
"1018"	0.981	1.7128	0.0035725	1.9914	0.27394	1018	"Bayescan Host"
"1019"	0.9964	2.442	0.00054511	2.0647	0.28327	1019	"Bayescan Host"
"1020"	0.9944	2.2493	0.00074571	2.0689	0.28414	1020	"Bayescan Host"
"1021"	0.83697	0.71043	0.024401	1.5583	0.22508	1021	"Bayescan Host"
"1022"	0.9874	1.894	0.0021108	1.972	0.26999	1022	"Bayescan Host"
"1023"	0.9894	1.97	0.001707	1.9853	0.27144	1023	"Bayescan Host"
