"BAYES_prob"	"BAYES_log10.PO."	"BAYES_qval"	"BAYES_alpha"	"BAYES_fst"	"ID"
"1"	0.0842168	-1.03639	0.907105	-0.0024609	0.11035	1
"2"	0.088418	-1.0133	0.90455	-0.0010583	0.11036	2
"3"	0.12963	-0.82701	0.72658	0.1015	0.11903	3
"4"	0.097419	-0.96684	0.8893	0.007043	0.11122	4
"5"	0.092619	-0.99109	0.89974	-0.0074979	0.11016	5
"6"	0.087217	-1.0198	0.90548	-0.003881	0.11025	6
"7"	0.096019	-0.9738	0.89315	-0.0054633	0.11045	7
"8"	0.092018	-0.9942	0.9006	0.012238	0.11144	8
"9"	0.096219	-0.9728	0.89266	-0.0085668	0.11011	9
"10"	0.082216	-1.0478	0.90773	-0.0073586	0.10995	10
"11"	0.093619	-0.98595	0.8981	0.005763	0.11105	11
"12"	0.073615	-1.0998	0.90828	-0.01327	0.10955	12
"13"	0.086017	-1.0264	0.90623	-0.015169	0.10961	13
"14"	0.094819	-0.97984	0.89581	-0.002206	0.11052	14
"15"	0.091618	-0.99629	0.90113	-0.018394	0.10925	15
"16"	0.095819	-0.9748	0.89366	-0.017702	0.10945	16
"17"	0.093419	-0.98697	0.89845	-0.0013604	0.11061	17
"18"	0.089618	-1.0068	0.90345	0.0058085	0.11094	18
"19"	0.092819	-0.99006	0.89943	-0.0052119	0.11023	19
"20"	0.091018	-0.99943	0.9019	-0.016233	0.10948	20
"21"	0.093219	-0.988	0.89879	0.0015495	0.11099	21
"22"	0.083417	-1.0409	0.9074	-0.017911	0.10924	22
"23"	0.088618	-1.0122	0.90436	-0.010411	0.10992	23
"24"	0.084417	-1.0353	0.90702	-0.014226	0.10969	24
"25"	0.093219	-0.988	0.89879	-0.016629	0.10948	25
"26"	0.092218	-0.99316	0.90033	-0.016656	0.10937	26
"27"	0.084417	-1.0353	0.90702	-0.0049971	0.11013	27
"28"	0.088418	-1.0133	0.90455	-0.0024949	0.11042	28
"29"	0.082617	-1.0455	0.90764	-0.017125	0.10942	29
"30"	0.12202	-0.85704	0.76119	0.059853	0.11568	30
"31"	0.095219	-0.97782	0.89497	0.018319	0.11202	31
"32"	0.086417	-1.0241	0.90599	-0.013806	0.10961	32
"33"	0.11302	-0.89475	0.81038	0.052505	0.11494	33
"34"	0.086617	-1.023	0.90587	-0.00085483	0.11049	34
"35"	0.081416	-1.0524	0.90789	-0.0085176	0.11004	35
"36"	0.084217	-1.0364	0.90711	-0.0020447	0.11031	36
"37"	0.082416	-1.0466	0.90769	-0.016822	0.10935	37
"38"	0.084417	-1.0353	0.90702	-0.0041067	0.11026	38
"39"	0.083617	-1.0398	0.90733	-0.0036005	0.11022	39
"40"	0.089618	-1.0068	0.90345	-0.0024161	0.11036	40
"41"	0.096819	-0.96981	0.891	0.026871	0.11276	41
"42"	0.10102	-0.94934	0.87495	0.030933	0.11293	42
"43"	0.12783	-0.83399	0.73584	0.08715	0.11781	43
"44"	0.11042	-0.90613	0.82755	0.049376	0.11444	44
"45"	0.085017	-1.0319	0.90675	-0.0079871	0.10997	45
"46"	0.082016	-1.0489	0.90778	-0.0073313	0.10992	46
"47"	0.095619	-0.97581	0.89412	-0.0080941	0.11019	47
"48"	0.082617	-1.0455	0.90764	-0.0080482	0.10999	48
"49"	0.089618	-1.0068	0.90345	-0.00084223	0.11074	49
"50"	0.094019	-0.9839	0.89738	-0.0093817	0.10993	50
"51"	0.084217	-1.0364	0.90711	-0.0061511	0.1099	51
"52"	0.085417	-1.0297	0.90654	-0.012018	0.10989	52
"53"	0.086817	-1.022	0.90574	-0.0086336	0.10997	53
"54"	0.089818	-1.0058	0.90324	-0.027442	0.10875	54
"55"	0.087017	-1.0209	0.90561	-0.0041239	0.11018	55
"56"	0.084617	-1.0341	0.90694	-0.013206	0.10954	56
"57"	0.085417	-1.0297	0.90654	-0.0028926	0.11041	57
"58"	0.084217	-1.0364	0.90711	0.00099232	0.11067	58
"59"	0.084217	-1.0364	0.90711	-0.0045404	0.11025	59
"60"	0.13043	-0.82394	0.72354	0.09666	0.11847	60
"61"	0.10062	-0.95126	0.87676	0.022682	0.1124	61
"62"	0.084617	-1.0341	0.90694	0.015074	0.11157	62
"63"	0.096819	-0.96981	0.891	0.0024082	0.11073	63
"64"	0.083017	-1.0432	0.90753	-0.022758	0.10916	64
"65"	0.081416	-1.0524	0.90789	-0.012387	0.10956	65
"66"	0.084617	-1.0341	0.90694	-0.0017597	0.11035	66
"67"	0.087017	-1.0209	0.90561	-0.012877	0.10962	67
"68"	0.092819	-0.99006	0.89943	-0.014157	0.10965	68
"69"	0.089218	-1.009	0.90383	-0.0098095	0.10984	69
"70"	0.090818	-1.0005	0.90215	-0.015243	0.10955	70
"71"	0.097019	-0.96882	0.89046	0.013156	0.11154	71
"72"	0.082416	-1.0466	0.90769	-0.01261	0.10964	72
"73"	0.084817	-1.033	0.90685	-0.004364	0.11017	73
"74"	0.089218	-1.009	0.90383	0.0012927	0.11065	74
"75"	0.084417	-1.0353	0.90702	-0.0043584	0.11024	75
"76"	0.094219	-0.98289	0.897	0.0099003	0.1113	76
"77"	0.093619	-0.98595	0.8981	0.0040763	0.11085	77
"78"	0.086817	-1.022	0.90574	-0.0042889	0.11017	78
"79"	0.094619	-0.98085	0.8962	-0.01617	0.10958	79
"80"	0.094219	-0.98289	0.897	0.0031693	0.11095	80
"81"	0.092619	-0.99109	0.89974	-0.013745	0.10971	81
"82"	0.082817	-1.0443	0.90758	-0.016801	0.1093	82
"83"	0.085017	-1.0319	0.90675	-0.013084	0.10975	83
"84"	0.086617	-1.023	0.90587	-0.01643	0.10942	84
"85"	0.092018	-0.9942	0.9006	-0.019609	0.10934	85
"86"	0.084017	-1.0375	0.90718	-0.010773	0.10958	86
"87"	0.091218	-0.99838	0.90165	0.0013845	0.11085	87
"88"	0.13223	-0.81709	0.71564	0.11092	0.12005	88
"89"	0.081816	-1.0501	0.90782	0.0043257	0.11079	89
"90"	0.090018	-1.0047	0.90304	-0.012625	0.10962	90
"91"	0.088218	-1.0143	0.90472	0.0030768	0.11088	91
"92"	0.087017	-1.0209	0.90561	-0.0010157	0.11044	92
"93"	0.097419	-0.96684	0.8893	0.0057089	0.11127	93
"94"	0.088218	-1.0143	0.90472	-0.008113	0.11005	94
"95"	0.082016	-1.0489	0.90778	-0.004305	0.11024	95
"96"	0.087217	-1.0198	0.90548	0.0064366	0.11101	96
"97"	0.091018	-0.99943	0.9019	-0.00023663	0.11067	97
"98"	0.084817	-1.033	0.90685	-0.0012625	0.11046	98
"99"	0.083617	-1.0398	0.90733	-0.0039871	0.11028	99
"100"	0.095019	-0.97883	0.89542	0.00096541	0.11074	100
"101"	0.093019	-0.98903	0.89911	-0.00447	0.1103	101
"102"	0.09862	-0.96094	0.88527	0.0043204	0.11079	102
"103"	0.09782	-0.96487	0.88808	6.1414e-06	0.11067	103
"104"	0.092418	-0.99213	0.90004	0.0069617	0.11114	104
"105"	0.095019	-0.97883	0.89542	0.0016778	0.11086	105
"106"	0.086417	-1.0241	0.90599	-0.015242	0.1095	106
"107"	0.092418	-0.99213	0.90004	-0.010708	0.10985	107
"108"	0.091018	-0.99943	0.9019	0.024715	0.1123	108
"109"	0.080616	-1.0571	0.90802	-0.013687	0.10957	109
"110"	0.080816	-1.0559	0.90799	-0.0091498	0.10987	110
"111"	0.086617	-1.023	0.90587	-0.011081	0.1098	111
"112"	0.093619	-0.98595	0.8981	-0.0078452	0.11008	112
"113"	0.085017	-1.0319	0.90675	-0.017546	0.10943	113
"114"	0.083817	-1.0387	0.90726	-0.014376	0.1095	114
"115"	0.091618	-0.99629	0.90113	0.007141	0.11109	115
"116"	0.088618	-1.0122	0.90436	-0.017265	0.10943	116
"117"	0.090618	-1.0015	0.90237	-0.019181	0.1095	117
"118"	0.089618	-1.0068	0.90345	-0.018026	0.10946	118
"119"	0.090418	-1.0026	0.9026	0.0025385	0.11077	119
"120"	0.09882	-0.95997	0.88455	0.0023625	0.11096	120
"121"	0.096219	-0.9728	0.89266	0.0081876	0.1111	121
"122"	0.09762	-0.96585	0.88871	0.042949	0.11397	122
"123"	0.10382	-0.93611	0.86127	0.037472	0.11343	123
"124"	0.10322	-0.93892	0.86424	0.04289	0.11388	124
"125"	0.091218	-0.99838	0.90165	0.0095455	0.11114	125
"126"	0.11382	-0.89129	0.80599	0.047311	0.11435	126
"127"	0.095619	-0.97581	0.89412	0.028976	0.11293	127
"128"	0.083817	-1.0387	0.90726	-0.018969	0.10925	128
"129"	0.10902	-0.91235	0.83438	0.058104	0.11554	129
"130"	0.09802	-0.96388	0.88736	0.028196	0.11286	130
"131"	0.087217	-1.0198	0.90548	-0.013232	0.10977	131
"132"	0.086217	-1.0252	0.90611	-0.011929	0.10971	132
"133"	0.083417	-1.0409	0.9074	-0.012678	0.10968	133
"134"	0.089218	-1.009	0.90383	-0.015518	0.10954	134
"135"	0.094619	-0.98085	0.8962	0.0047925	0.11128	135
"136"	0.089018	-1.01	0.90401	0.000722	0.11062	136
"137"	0.092018	-0.9942	0.9006	0.0050644	0.11095	137
"138"	0.085017	-1.0319	0.90675	-0.0045889	0.11026	138
"139"	0.081816	-1.0501	0.90782	-0.00022854	0.11054	139
"140"	0.090018	-1.0047	0.90304	-0.013315	0.10963	140
"141"	0.094819	-0.97984	0.89581	0.0024365	0.11082	141
"142"	0.088818	-1.0111	0.90419	-0.0033034	0.1103	142
"143"	0.086417	-1.0241	0.90599	-0.0017579	0.1105	143
"144"	0.086817	-1.022	0.90574	-0.0060708	0.11021	144
"145"	0.087417	-1.0187	0.90534	-0.00083377	0.11056	145
"146"	0.088818	-1.0111	0.90419	-0.0033993	0.11053	146
"147"	0.092619	-0.99109	0.89974	-0.010498	0.10984	147
"148"	0.09822	-0.9629	0.88673	0.015361	0.11199	148
"149"	0.084017	-1.0375	0.90718	-0.014099	0.10955	149
"150"	0.091618	-0.99629	0.90113	0.0058668	0.11103	150
"151"	0.092218	-0.99316	0.90033	-0.00041815	0.11053	151
"152"	0.090618	-1.0015	0.90237	0.0035513	0.1108	152
"153"	0.090418	-1.0026	0.9026	-0.0015557	0.11043	153
"154"	0.10542	-0.92869	0.85317	0.029363	0.1129	154
"155"	0.087818	-1.0165	0.90503	-0.012039	0.10975	155
"156"	0.085617	-1.0286	0.90645	-0.011137	0.10969	156
"157"	0.096619	-0.97081	0.89156	0.0025768	0.11085	157
"158"	0.086417	-1.0241	0.90599	-0.022883	0.10905	158
"159"	0.088818	-1.0111	0.90419	-0.0025204	0.11041	159
"160"	0.084217	-1.0364	0.90711	-0.012511	0.10965	160
"161"	0.090418	-1.0026	0.9026	-0.012935	0.10976	161
"162"	0.10022	-0.95318	0.87879	0.019123	0.11215	162
"163"	0.083417	-1.0409	0.9074	-0.0092139	0.10982	163
"164"	0.084617	-1.0341	0.90694	0.00040442	0.11052	164
"165"	0.089418	-1.0079	0.90364	0.00065285	0.11067	165
"166"	0.088018	-1.0154	0.90488	0.0012087	0.11062	166
"167"	0.087818	-1.0165	0.90503	-0.023145	0.10925	167
"168"	0.091818	-0.99524	0.90088	0.0042679	0.11085	168
"169"	0.11342	-0.89302	0.80824	0.064117	0.11581	169
"170"	0.089218	-1.009	0.90383	-0.0073543	0.11028	170
"171"	0.089618	-1.0068	0.90345	-0.00043712	0.11042	171
"172"	0.081416	-1.0524	0.90789	-0.0059556	0.11007	172
"173"	0.081216	-1.0536	0.90793	-0.0056766	0.1101	173
